[2020.04.06 11:57:11:960] EVENT,start thread Logger 32 {32} [4729]
[2020.04.06 11:57:12:524] EVENT,archive:  [wpmain] {36} [4729]
[2020.04.06 11:57:12:525] EVENT, startup wpapi a {36} [4729]
[2020.04.06 11:57:12:528] EVENT, wpapiconnectport set to g0 19421 19421 [wpapi] {36} [4729]
[2020.04.06 11:57:12:528] EVENT,start thread wpapi 42 {42} [4729]
[2020.04.06 11:57:12:528] EVENT,set priority to service from wpapi {42} [4729]
[2020.04.06 11:57:12:530] EVENT,wpapi udp listen on 19422 [wpapi] {42} [4729]
[2020.04.06 11:57:12:530] EVENT, wpapiconnectport get at gx 19421 19421 [wpapi] {42} [4729]
[2020.04.06 11:57:12:530] EVENT, wpapiconnectport set to g4 19421 19421 [wpapi] {42} [4729]
[2020.04.06 11:57:12:530] EVENT, wpapi started successfully 3 [wpapi] {42} [4729]
[2020.04.06 11:57:12:531] EVENT,NOTIFICATION_XRSS,START,api {42} [4729]
[2020.04.06 11:57:12:531] EVENT,resending cached notifications [wpapi] {42} [4729]
[2020.04.06 11:57:12:531] EVENT, api notification sent a 0 0 19422 19421 {42} [4729]
[2020.04.06 11:57:12:568] EVENT,temp network interface address is 127.0.0.1 (with server: 46.105.182.20) {36} [4729]
[2020.04.06 11:57:12:568] EVENT,serveraddrlst32: a (11998):  b: 46.105.182.20 c:  d:  e:  f:  g:  h:  i:  j:  {36} [4729]
[2020.04.06 11:57:12:568] EVENT,temp network interface address is 192.168.55.101 (with server: 46.105.182.20) {36} [4729]
[2020.04.06 11:57:12:568] EVENT,local ip is 192.168.55.101 {36} [4729]
[2020.04.06 11:57:12:568] EVENT, need for stun natcheck because server ip 46.105.182.20 46.105.182.20 {36} [4729]
[2020.04.06 11:57:12:568] EVENT,retry jsobj load [wpmain] {36} [4729]
[2020.04.06 11:57:12:568] EVENT, try to load js [wpmain] {36} [4729]
[2020.04.06 11:57:12:568] EVENT,NOTIFICATION_XRSS,START,api {36} [4729]
[2020.04.06 11:57:12:568] EVENT,afterstart natcheck 1 192.168.55.101 46.105.182.20 46.105.182.20 [wpmain] {36} [4729]
[2020.04.06 11:57:12:568] EVENT,afterstart autostart [wpmain] {36} [4729]
[2020.04.06 11:57:12:569] EVENT,direct call URI parsing is not enabled c  [wpmain] {36} [4729]
[2020.04.06 11:57:12:569] EVENT, set called ext i to 48795747847 [wpmain] {36} [4729]
[2020.04.06 11:57:12:569] EVENT,start thread natcheck 43 {43} [4729]
[2020.04.06 11:57:12:569] EVENT,first routepath set to 46.105.182.20 46.105.182.20 5060 as user JSSIP [wpmain] {36} [4729]
[2020.04.06 11:57:12:569] EVENT,save settings wpb [wpmain] {36} [4729]
[2020.04.06 11:57:12:569] EVENT,save settings wp [wpmain] {36} [4729]
[2020.04.06 11:57:12:569] EVENT,udp nat bind to port 14292 (byf: 4) {43} [4729]
[2020.04.06 11:57:12:569] EVENT,write file D:\My Project\SIP_FELGDENT\mwphonedata\u87wpcfg.dat (217) {36} [4729]
[2020.04.06 11:57:12:570] EVENT,config saved 217 [wpmain] {36} [4729]
[2020.04.06 11:57:12:570] EVENT,starting sip stack [wpmain] {36} [4729]
[2020.04.06 11:57:12:571] EVENT,waiting for mediaench to load and init {43} [4729]
[2020.04.06 11:57:12:571] EVENT,start thread mediaench 44 {44} [4729]
[2020.04.06 11:57:12:572] EVENT,set priority to service from mediaench1 {44} [4729]
[2020.04.06 11:57:12:572] EVENT,mediaench thread start [mediaench 0] {44} [4729]
[2020.04.06 11:57:12:572] EVENT,mediaench and aec load from system mediaench2x64 [mediaench 0] {44} [4729]
[2020.04.06 11:57:12:573] WARNING, catch on loadlib from local m no mediaench2x64 in java.library.path {44} [4729]
[2020.04.06 11:57:12:573] EVENT,mediaench and aec load from system failed. load from local path... [mediaench 0] {44} [4729]
[2020.04.06 11:57:12:573] EVENT,checking exact file path D:\My Project\SIP_FELGDENT [mediaench 0] {44} [4729]
[2020.04.06 11:57:12:573] EVENT,mediaench and aec load from local failed. load from web... [mediaench 0] {44} [4729]
[2020.04.06 11:57:12:573] EVENT,mediaench load from web starting... [mediaench 0] {44} [4729]
[2020.04.06 11:57:12:573] EVENT,mediaench load from web checking file cache1 D:\My Project\SIP_FELGDENT\mwphonedata\mediaench2x64870.dll [mediaench 0] {44} [4729]
[2020.04.06 11:57:12:574] EVENT,mediaench load from web load from file cache1 D:\My Project\SIP_FELGDENT\mwphonedata\mediaench2x64870.dll [mediaench 0] {44} [4729]
[2020.04.06 11:57:12:576] EVENT,mediaench loaded1 from D:\My Project\SIP_FELGDENT\mwphonedata\mediaench2x64870.dll [mediaench 0] {44} [4729]
[2020.04.06 11:57:12:576] EVENT,mediaench vx found 21 [mediaench 0] {44} [4729]
[2020.04.06 11:57:12:577] EVENT,upnp port assigment failed -3 {44} [4729]
[2020.04.06 11:57:12:577] EVENT,mediaench thread stop with succ 21 [mediaench 0] {44} [4729]
[2020.04.06 11:57:12:577] EVENT,set priority to min from mediaench122 (idle: false) {44} [4729]
[2020.04.06 11:57:12:588] EVENT,creating sip stack [mt: 0] {36} [4729]
[2020.04.06 11:57:12:588] EVENT,starting sip stack 2 ... [wpmain] {36} [4729]
[2020.04.06 11:57:12:589] EVENT,starting sip stack 3 ... [wpmain] {36} [4729]
[2020.04.06 11:57:12:591] EVENT,sip stack initiated [wpmain] {36} [4729]
[2020.04.06 11:57:12:592] EVENT,afterstart event finished [wpmain] {36} [4729]
[2020.04.06 11:57:12:597] EVENT,start thread MainThread 45 {45} [4729]
[2020.04.06 11:57:12:598] EVENT,sip stack run start... [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:598] EVENT,sip stack run on 192.168.55.101 [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:598] EVENT,sipstack initialising... [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:598] EVENT,sipstack initialising b... [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:598] EVENT,local signaling port using oldsignalingport 14292 [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:598] EVENT, first tick no [wpmain] {36} [4729]
[2020.04.06 11:57:12:599] EVENT,opening audio device form [wpmain] {36} [4729]
[2020.04.06 11:57:12:599] EVENT, autotransportdetect=no, usetunneling=1 [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:609] EVENT, check mep call state [mt: 13693] {36} [4729]
[2020.04.06 11:57:12:624] EVENT,apicall API_Call_Now -2,+ [wpmain] {34} [4729]
[2020.04.06 11:57:12:624] EVENT,NOTIFICATION_XRSS,STATUS,-1,Starting call to + {34} [4729]
[2020.04.06 11:57:12:625] EVENT,network status is CONNECTED 122 122 {34} [4729]
[2020.04.06 11:57:12:625] EVENT,network status is CONNECTED {34} [4729]
[2020.04.06 11:57:12:625] EVENT,start thread inetcheck 47 {47} [4729]
[2020.04.06 11:57:12:625] EVENT,set priority to min from inetcheck1 (idle: false) {47} [4729]
[2020.04.06 11:57:12:626] EVENT,direct call URI parsing is not enabled c + [wpmain] {34} [4729]
[2020.04.06 11:57:12:626] EVENT, set called ext i to + [wpmain] {34} [4729]
[2020.04.06 11:57:12:626] EVENT,first routepath set to 46.105.182.20 46.105.182.20 5060 as user JSSIP [wpmain] {34} [4729]
[2020.04.06 11:57:12:626] EVENT,save settings wpb [wpmain] {34} [4729]
[2020.04.06 11:57:12:626] EVENT,save settings wp [wpmain] {34} [4729]
[2020.04.06 11:57:12:626] EVENT,write file D:\My Project\SIP_FELGDENT\mwphonedata\u87wpcfg.dat (207) {34} [4729]
[2020.04.06 11:57:12:626] EVENT,config saved 207 [wpmain] {34} [4729]
[2020.04.06 11:57:12:626] EVENT,NOTIFICATION_XRSS,STATUS,-1,Call {34} [4729]
[2020.04.06 11:57:12:626] EVENT,NOTIFICATION_XRSS,STATUS,-1,Connecting... {34} [4729]
[2020.04.06 11:57:12:626] EVENT,reg state changed from [failed-2] to [working unknown] () {34} [4729]
[2020.04.06 11:57:12:644] EVENT,local ip is 192.168.55.101 {45} [4729]
[2020.04.06 11:57:12:644] EVENT,waiting for stun to complete [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:672] EVENT,mediaench upnp ok 5 0 {43} [4729]
[2020.04.06 11:57:12:672] EVENT,check ip for mnt.mizu-voip.com from 0 {43} [4729]
[2020.04.06 11:57:12:672] EVENT, a dns record request for mnt.mizu-voip.com fromcode: 0 {43} [4729]
[2020.04.06 11:57:12:672] EVENT, a dns lookup for mnt.mizu-voip.com with 3000 msec timeout fromcode: 0 {43} [4729]
[2020.04.06 11:57:12:673] EVENT,start thread MAsyncTask 48 {48} [4729]
[2020.04.06 11:57:12:673] EVENT,async task start 8 {48} [4729]
[2020.04.06 11:57:12:673] EVENT,check A record for mnt.mizu-voip.com fromcode: 0 {48} [4729]
[2020.04.06 11:57:12:673] EVENT,async task dns a finished for mnt.mizu-voip.com: 148.251.28.180 {48} [4729]
[2020.04.06 11:57:12:673] EVENT,async task 8 finished in 0 msec {48} [4729]
[2020.04.06 11:57:12:674] EVENT,      get parameter (from 10014) dnscache_domain0=mnt.mizu-voip.com {43} [4729]
[2020.04.06 11:57:12:674] EVENT,      get parameter (from 10014) dnscache_ip0=148.251.28.180 {43} [4729]
[2020.04.06 11:57:12:674] EVENT,      get parameter (from 10014) dnscache_domain1=voipserver.mizu-voip.com {43} [4729]
[2020.04.06 11:57:12:674] EVENT,      get parameter (from 10014) dnscache_ip1=148.251.28.179 {43} [4729]
[2020.04.06 11:57:12:674] EVENT,check ip for voipserver.mizu-voip.com from 0 {43} [4729]
[2020.04.06 11:57:12:674] EVENT, a dns record request for voipserver.mizu-voip.com fromcode: 0 {43} [4729]
[2020.04.06 11:57:12:674] EVENT, a dns lookup for voipserver.mizu-voip.com with 3000 msec timeout fromcode: 0 {43} [4729]
[2020.04.06 11:57:12:674] EVENT,start thread MAsyncTask 49 {49} [4729]
[2020.04.06 11:57:12:674] EVENT,async task start 8 {49} [4729]
[2020.04.06 11:57:12:674] EVENT,check A record for voipserver.mizu-voip.com fromcode: 0 {49} [4729]
[2020.04.06 11:57:12:675] EVENT,async task dns a finished for voipserver.mizu-voip.com: 148.251.28.179 {49} [4729]
[2020.04.06 11:57:12:675] EVENT,async task 8 finished in 1 msec {49} [4729]
[2020.04.06 11:57:12:692] EVENT,rmixers: , supports “SourceDataLine Clip  Mixer: Podstawowy sterownik dwiêk, supports “SourceDataLine Clip , Direct Audio Device: DirectSound Playback {36} [4729]
[2020.04.06 11:57:12:734] EVENT,rmixers: , supports “SourceDataLine Clip  Mixer: G³oniki (Realtek(R) Audi, supports “SourceDataLine Clip , Direct Audio Device: DirectSound Playback {36} [4729]
[2020.04.06 11:57:12:734] EVENT,rmixers: , supports “SourceDataLine Clip  Mixer: Realtek Digital Output (Realtek(R) Audio), supports “SourceDataLine Clip , Direct Audio Device: DirectSound Playback {36} [4729]
[2020.04.06 11:57:12:734] EVENT,rmixers: , supports “SourceDataLine Clip  Mixer: S2233W (NVIDIA High Definition Audio), supports “SourceDataLine Clip , Direct Audio Device: DirectSound Playback {36} [4729]
[2020.04.06 11:57:12:735] EVENT,rmixers: , supports TargetDataLine  Mixer: Podstawowy sterownik przechwytywania dwiêk, supports TargetDataLine , Direct Audio Device: DirectSound Capture {36} [4729]
[2020.04.06 11:57:12:735] EVENT,rmixers: , supports TargetDataLine  Mixer: Mikrofon (Realtek(R) Audio), supports TargetDataLine , Direct Audio Device: DirectSound Capture {36} [4729]
[2020.04.06 11:57:12:735] EVENT,udp nat from first server 176.100.192.174:14292 {43} [4729]
[2020.04.06 11:57:12:735] EVENT,check ip for voipserver.mizu-voip.com from 0 {43} [4729]
[2020.04.06 11:57:12:735] EVENT,udp nat detected public: 176.100.192.174:14292 (private: 192.168.55.101:14292) {43} [4729]
[2020.04.06 11:57:12:736] EVENT,rmixers: , supports Port  Mixer: Port G³oniki (Realtek(R) Audi, supports Port , Port Mixer {36} [4729]
[2020.04.06 11:57:12:736] EVENT,rmixers: , supports Port  Mixer: Port Realtek Digital Output (Realtek, supports Port , Port Mixer {36} [4729]
[2020.04.06 11:57:12:736] EVENT,rmixers: , supports Port  Mixer: Port S2233W (NVIDIA High Definition , supports Port , Port Mixer {36} [4729]
[2020.04.06 11:57:12:736] EVENT,rmixers: , supports Port  Mixer: Port Mikrofon (Realtek(R) Audio), supports Port , Port Mixer {36} [4729]
[2020.04.06 11:57:12:736] EVENT,, supports Port  Mixer: Port Mikrofon (Realtek(R) Audio), supports Port , Port Mixer {36} [4729]
[2020.04.06 11:57:12:745] EVENT,stun completed 2 (localport: 14292) [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:748] EVENT,udp init [udp localport: 0 since: 0 ok] {45} [4729]
[2020.04.06 11:57:12:749] EVENT,udp bind to port 14292 (signaling) [udp localport: 0 since: 0 ok] {45} [4729]
[2020.04.06 11:57:12:749] EVENT,start thread TUDP 50 {50} [4729]
[2020.04.06 11:57:12:749] EVENT,set priority to service from udp111 {50} [4729]
[2020.04.06 11:57:12:749] EVENT,start thread Sender 46 {46} [4729]
[2020.04.06 11:57:12:762] EVENT,AudioDevice
[2020.04.06 11:57:12:766] EVENT,udp packet 1 received to signaling port 14292 from 148.251.28.179:44447. length is 57 [udp localport: 14292 since: 0 ok] {50} [4729]
[2020.04.06 11:57:12:793] EVENT,mainthread init done. privateaddress: 192.168.55.101:14292 publicaddress: 176.100.192.174:14292 [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:793] EVENT,NOTIFICATION_XRSS,START,sip {45} [4729]
[2020.04.06 11:57:12:794] EVENT, network state initialized as online [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:794] EVENT,      get parameter (from 10014) country=PL {45} [4729]
[2020.04.06 11:57:12:794] EVENT,      get parameter (from 10014) geolocationtrycount=1 {45} [4729]
[2020.04.06 11:57:12:794] EVENT,exec command 0 line: 1 params: +   elapsed 168 [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:794] EVENT,init call [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:794] EVENT, returned free line is 1 [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:797] EVENT,OnFirstCall [mt: 13693] {45} [4729]
[2020.04.06 11:57:12:832] EVENT,on sip stack started [wpmain] {34} [4729]
[2020.04.06 11:57:12:832] EVENT,NOTIFICATION_XRSS,STATUS,-1,Initialized {34} [4729]
[2020.04.06 11:57:12:832] EVENT,sip stack started event finished [wpmain] {34} [4729]
[2020.04.06 11:57:12:832] EVENT,afterstart delayed register [wpmain] {34} [4729]
[2020.04.06 11:57:12:832] EVENT,Connect initiated a [wpmain] {34} [4729]
[2020.04.06 11:57:12:832] EVENT,direct call URI parsing is not enabled c  [wpmain] {34} [4729]
[2020.04.06 11:57:12:832] EVENT, set called ext i to + [wpmain] {34} [4729]
[2020.04.06 11:57:12:832] EVENT,first routepath set to 46.105.182.20 46.105.182.20 5060 as user JSSIP [wpmain] {34} [4729]
[2020.04.06 11:57:12:832] EVENT,save settings wpb [wpmain] {34} [4729]
[2020.04.06 11:57:12:832] EVENT,save settings wp [wpmain] {34} [4729]
[2020.04.06 11:57:12:832] EVENT,config saved 207 [wpmain] {34} [4729]
